Tilda UID;Название;№ фото;Файл;Full URL;Thumbnail URL;Full bytes;Thumbnail bytes;Full size;Thumbnail size
138900285391;Kilian Good Girl Gone Bad;1;138900285391-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/138900285391-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/138900285391-01.webp;10448;2624;900x1200;360x480
140539070611;Maison Francis Kurkdjian Baccarat Rouge 540;1;140539070611-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/140539070611-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/140539070611-01.webp;24814;5198;900x1200;360x480
141792268902;Ormonde Jayne 4. Montabaco (parfum);1;141792268902-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/141792268902-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/141792268902-01.webp;19268;5924;658x877;360x480
149443199971;Attar Collection Azora;1;149443199971-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/149443199971-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/149443199971-01.webp;20458;7682;600x800;360x480
150004669661;Tiziana Terenzi Gumin 2016;1;150004669661-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/150004669661-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/150004669661-01.webp;11532;2560;878x1170;360x480
151775750382;Kilian Moonlight in Heaven;1;151775750382-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/151775750382-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/151775750382-01.webp;13054;4452;658x877;360x480
155850923692;Kilian Roses On Ice;1;155850923692-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/155850923692-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/155850923692-01.webp;45922;14648;658x877;360x480
155951884491;Byredo Mojave Ghost;1;155951884491-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/155951884491-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/155951884491-01.webp;13454;4082;900x1200;360x480
157280884862;Kilian Apple Brandy On The Rocks;1;157280884862-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/157280884862-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/157280884862-01.webp;58208;17096;658x877;360x480
159132832872;Ella K Musc K;1;159132832872-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/159132832872-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/159132832872-01.webp;4054;1726;658x877;360x480
159761572811;"Сет клонов ""Потерянная вишня"" 4 х 5 ml";1;159761572811-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/159761572811-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/159761572811-01.webp;35012;8758;900x1200;360x480
159761572811;"Сет клонов ""Потерянная вишня"" 4 х 5 ml";2;159761572811-02.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/159761572811-02.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/159761572811-02.webp;37416;4916;880x1200;352x480
160141506992;Creed Aventus;1;160141506992-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/160141506992-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/160141506992-01.webp;19114;5304;658x877;360x480
162030254281;Memo Winter Palace;1;162030254281-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/162030254281-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/162030254281-01.webp;22642;7060;658x877;360x480
165948223271;Creed Spring Flower;1;165948223271-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/165948223271-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/165948223271-01.webp;9838;4064;600x800;360x480
166204650923;Ramon Monegal Flamenco;1;166204650923-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/166204650923-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/166204650923-01.webp;8092;3336;658x877;360x480
